state	region	division	population	area	temperature	income
AL	South	East South Central	4779736	135767	62.81626016260162	43623
AK	West	Pacific	710231	1723337	32.67460317460318	72515
AZ	West	Mountain	6392017	295234	62.116216216216216	50255
AR	South	West South Central	2915918	137732	60.49478260869565	41371
CA	West	Pacific	37253956	423967	59.49644670050761	61818
CO	West	Mountain	5029196	269601	46.01219512195122	60629
CT	Northeast	New England	3574097	14357	49.611111111111114	70331
DE	South	South Atlantic	897934	6446	55.61	60509
FL	South	South Atlantic	18801310	170312	72.10406976744186	47507
GA	South	South Atlantic	9687653	153910	63.17464788732394	49620
HI	West	Pacific	1360301	28313	71.715625	69515
ID	West	Mountain	1567582	216443	45.71089743589744	47583
IL	North Central	East North Central	12830632	149995	52.13620689655173	57574
IN	North Central	East North Central	6483802	94326	51.97563025210084	49255
IA	North Central	West North Central	3046355	145746	48.167808219178085	53183
KS	North Central	West North Central	2853118	213100	54.5	52205
KY	South	East South Central	4339367	104656	55.994174757281556	43740
LA	South	West South Central	4533372	135659	66.69716981132075	45047
ME	Northeast	New England	1328361	91633	42.554545454545455	49331
MD	South	South Atlantic	5773552	32131	55.28103448275862	74551
MA	Northeast	New England	6547629	27336	48.374647887323945	68563
MI	North Central	East North Central	9883640	250487	45.46714285714285	49576
MN	North Central	West North Central	5303925	225163	42.20483870967742	61492
MS	South	East South Central	2967297	125438	63.52772277227723	39665
MO	North Central	West North Central	5988927	180540	54.96842105263158	48173
MT	West	Mountain	989415	380831	43.71340996168583	47169
NE	North Central	West North Central	1826341	200330	49.25416666666667	52997
NV	West	Mountain	2700551	286380	51.659541984732826	51847
NH	Northeast	New England	1316470	24214	44.31764705882353	66779
NJ	Northeast	Middle Atlantic	8791894	22591	52.644	72093
NM	West	Mountain	2059179	314917	54.092063492063495	44963
NY	Northeast	Middle Atlantic	19378102	141297	47.078857142857146	59269
NC	South	South Atlantic	9535483	139391	58.58888888888889	46868
ND	North Central	West North Central	672591	183108	41.402255639097746	57181
OH	North Central	East North Central	11536504	116098	51.2030303030303	49429
OK	South	West South Central	3751351	181037	59.76433566433566	46879
OR	West	Pacific	3831074	254799	50.005188679245286	51243
PA	Northeast	Middle Atlantic	12702379	119280	49.732727272727274	53599
RI	Northeast	New England	1052567	4001	50.481818181818184	56852
SC	South	South Atlantic	4625364	82933	62.521153846153844	45483
SD	North Central	West North Central	814180	199729	45.7	50957
TN	South	East South Central	6346105	109153	57.836666666666666	45219
TX	South	West South Central	25145561	695662	65.66071428571429	53207
UT	West	Mountain	2763885	219882	49.18361581920904	60727
VT	Northeast	New England	625741	24906	43.25416666666666	55176
VA	South	South Atlantic	8001024	110787	55.71923076923077	65015
WA	West	Pacific	6724540	184661	49.76234567901235	61062
WV	South	South Atlantic	1852994	62756	51.77247706422018	41751
WI	North Central	East North Central	5686986	169635	44.273737373737376	53357
WY	West	Mountain	563626	253335	43.32802547770701	58840
